id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,color_score,color_target,sound_target,position_response,figure_tested,occupation,sound_tested,position_tested,sound_score,color_response,color_tested,figure_target,figure_score,figure_response,timestamp,position_score,simulate,sound_response
Lama,male,22,training_transfer,pretest,fcs1,3,1,24,4,darkorange,triangle,sounds/C.wav,,1,1,1,,1,Studerende,1,0,0,1,1,0,1,0,1554982131266,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,25,4,darkorange,circle,sounds/E.wav,,1,1,0,,1,Studerende,1,0,1,1,1,0,1,0,1554982134883,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,26,4,dimgray,circle,sounds/E.wav,,1,0,1,,1,Studerende,1,0,0,0,1,1,1,1,1554982138523,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,27,4,red,star,sounds/T.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982142142,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,28,4,blue,circle,sounds/T.wav,,1,0,1,,1,Studerende,1,0,1,0,1,0,1,0,1554982145776,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,29,4,blue,circle,sounds/E.wav,,1,1,0,,1,Studerende,1,0,0,1,1,1,1,1,1554982149345,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,30,4,blue,star,sounds/T.wav,,1,1,0,,1,Studerende,1,0,1,1,1,0,1,0,1554982152986,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,31,4,white,triangle,sounds/T.wav,,1,0,1,,1,Studerende,1,0,1,0,1,0,1,0,1554982156628,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,32,4,green,star,sounds/C.wav,,1,0,0,,1,Studerende,1,0,0,0,1,0,1,0,1554982160259,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,33,4,dimgray,square,sounds/G.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982163878,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,34,4,red,star,sounds/E.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982167488,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,35,4,dimgray,triangle,sounds/C.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982171102,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,36,4,darkorange,square,sounds/D.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982174713,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,37,4,dimgray,circle,sounds/E.wav,,0,0,0,,1,Studerende,1,0,1,1,1,0,1,0,1554982178350,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,38,4,red,square,sounds/E.wav,,0,0,1,,1,Studerende,1,0,1,1,1,0,0,1,1554982181928,,no,1
Lama,male,22,training_transfer,pretest,fcs1,3,1,39,4,red,star,sounds/V.wav,,0,1,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982185544,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,40,4,blue,triangle,sounds/B.wav,,1,0,0,,1,Studerende,1,0,1,0,1,0,1,0,1554982189161,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,41,4,blue,star,sounds/G.wav,,1,1,0,,1,Studerende,1,0,1,1,1,0,1,0,1554982192795,,no,0
Lama,male,22,training_transfer,pretest,fcs1,3,1,42,4,darkorange,star,sounds/G.wav,,1,0,1,,1,Studerende,1,0,0,0,1,1,1,1,1554982196426,,no,0
